timestamp,location,lat,lon,current_speed,free_flow_speed,confidence,weather
11/6/2025 20:03:46,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 20:03:46,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 20:03:47,Howrah Bridge,22.585,88.3468,14,23,1,haze
11/6/2025 20:03:48,EM Bypass,22.4989,88.4122,20,24,1,haze
11/6/2025 20:03:49,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 20:13:43,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 20:13:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 20:13:44,Howrah Bridge,22.585,88.3468,13,23,1,haze
11/6/2025 20:13:45,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 20:13:45,Airport,22.6394,88.4467,16,18,0.861936,haze
11/6/2025 20:23:42,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 20:23:43,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 20:23:43,Howrah Bridge,22.585,88.3468,14,23,1,haze
11/6/2025 20:23:44,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 20:23:45,Airport,22.6394,88.4467,16,18,0.820835,haze
11/6/2025 20:33:42,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 20:33:42,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 20:33:43,Howrah Bridge,22.585,88.3468,17,23,1,haze
11/6/2025 20:33:44,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 20:33:44,Airport,22.6394,88.4467,16,18,0.843797,haze
11/6/2025 20:43:45,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 20:43:45,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 20:43:46,Howrah Bridge,22.585,88.3468,16,23,1,haze
11/6/2025 20:43:47,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 20:43:47,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 20:53:42,Esplanade,22.5726,88.3639,13,22,0.6,haze
11/6/2025 20:53:43,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 20:53:43,Howrah Bridge,22.585,88.3468,17,23,1,haze
11/6/2025 20:53:44,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 20:53:45,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 21:03:45,Esplanade,22.5726,88.3639,15,22,0.588524,haze
11/6/2025 21:03:45,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 21:03:46,Howrah Bridge,22.585,88.3468,18,23,1,haze
11/6/2025 21:03:46,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 21:03:48,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 21:13:45,Esplanade,22.5726,88.3639,17,22,0.57,haze
11/6/2025 21:13:45,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 21:13:46,Howrah Bridge,22.585,88.3468,19,23,1,haze
11/6/2025 21:13:47,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 21:13:47,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 21:23:45,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 21:23:46,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 21:23:46,Howrah Bridge,22.585,88.3468,19,23,0.998871,haze
11/6/2025 21:23:47,EM Bypass,22.4989,88.4122,20,25,0.944206,haze
11/6/2025 21:23:48,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 21:33:44,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 21:33:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 21:33:45,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 21:33:47,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 21:33:47,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 21:43:43,Esplanade,22.5726,88.3639,18,21,0.55,haze
11/6/2025 21:43:43,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 21:43:44,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 21:43:44,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 21:43:45,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 21:53:43,Esplanade,22.5726,88.3639,18,22,0.600202,haze
11/6/2025 21:53:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 21:53:44,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 21:53:45,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 21:53:46,Airport,22.6394,88.4467,19,19,1,haze
