timestamp,location,lat,lon,current_speed,free_flow_speed,confidence
9/6/2025 12:37:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 12:42:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 12:42:53,Salt Lake,22.5867,88.4173,24,26,0.98981
9/6/2025 12:42:53,Howrah Bridge,22.585,88.3468,14,23,1
9/6/2025 12:42:54,EM Bypass,22.4989,88.4122,20,24,0.960282
9/6/2025 12:42:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 12:47:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 12:47:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 12:47:53,Howrah Bridge,22.585,88.3468,12,23,1
9/6/2025 12:47:53,EM Bypass,22.4989,88.4122,19,25,0.971148
9/6/2025 12:47:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 12:52:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 12:52:53,Salt Lake,22.5867,88.4173,24,26,0.992008
9/6/2025 12:52:53,Howrah Bridge,22.585,88.3468,14,24,0.998871
9/6/2025 12:52:53,EM Bypass,22.4989,88.4122,20,25,0.98
9/6/2025 12:52:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 12:57:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 12:57:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 12:57:53,Howrah Bridge,22.585,88.3468,14,23,1
9/6/2025 12:57:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 12:57:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:02:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 13:02:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 13:02:53,Howrah Bridge,22.585,88.3468,13,23,0.99852
9/6/2025 13:02:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 13:02:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:07:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 13:07:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 13:07:54,Howrah Bridge,22.585,88.3468,14,24,1
9/6/2025 13:07:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 13:07:55,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:12:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 13:12:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 13:12:54,Howrah Bridge,22.585,88.3468,13,24,1
9/6/2025 13:12:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 13:12:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:17:53,Esplanade,22.5726,88.3639,18,22,0.537048
9/6/2025 13:17:53,Salt Lake,22.5867,88.4173,24,26,0.994553
9/6/2025 13:17:54,Howrah Bridge,22.585,88.3468,14,23,0.998934
9/6/2025 13:17:55,EM Bypass,22.4989,88.4122,20,24,0.964692
9/6/2025 13:17:56,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:22:52,Esplanade,22.5726,88.3639,18,22,0.537048
9/6/2025 13:22:52,Salt Lake,22.5867,88.4173,24,26,0.994564
9/6/2025 13:22:53,Howrah Bridge,22.585,88.3468,13,24,1
9/6/2025 13:22:53,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 13:22:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:27:52,Esplanade,22.5726,88.3639,18,22,0.537048
9/6/2025 13:27:52,Salt Lake,22.5867,88.4173,24,26,0.993241
9/6/2025 13:27:53,Howrah Bridge,22.585,88.3468,15,24,1
9/6/2025 13:27:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 13:27:54,Airport,22.6394,88.4467,18,19,0.796984
9/6/2025 13:32:53,Esplanade,22.5726,88.3639,18,22,0.537048
